source_field,details
MatMedCond11,Maternal medical condition 11
MatMedCond12,Maternal medical condition 12
MatMedCond13,Maternal medical condition 13
MumAdmissionDate,Mum admission date
MumAge,Mum age
MumBirthDate,Mum birth date
MumBloodLossRefId,"An estimate of the amount of blood lost at the time of birth and in the following 24 hours in millilitres (whether the loss is from the vagina, from an abdominal incision, or retained for example, broad ligament haematoma)"
MumBloodLossTransfusionRefId,"Whether the mother was given a transfusion of whole blood, or any blood product (excluding anti-D), during her postpartum stay"
MumBodyMassIndex,Mum body mass index
MumBodyMassIndexRefId,MumBodyMassIndexRefId
MumCountryOfBirthId,Mum country of birth
MumHDUandICUAdmissionRefId,Whether the mother is admitted into a high dependency unit (HDU) / intensive care unit (ICU)
MumHeight,Height of mum in cms
MumHeightNumber,#N/A
MumIndigenousId,Mums indigenous Id
MumLocality,Locality code of Mum
MumLOS,Mum LOS
MumPersonAddressId,#N/A
MumPostcode,Postcode of address of mum
MumPostnatalLOS,Mum post natal LOS
MumSeparationDate,Mum seperation date
MumSepStatusRefId,Status at separation of mother (discharge/transfer/ death)
MumTransferToCampusId,Campus Id where mum transferred
MumTransferToHospLevel,Hospital transfer to mum transfer
MumWeight,Mother’s self-reported weight (body mass) about the time of conception
MumWeightNumber,#N/A
NeonatalMorbidity01,Neonatal morbibidity 01
NeonatalMorbidity02,Neonatal morbibidity 02
NeonatalMorbidity03,Neonatal morbibidity 03
NeonatalMorbidity04,Neonatal morbibidity 04
NeonatalMorbidity05,Neonatal morbibidity 05
NeonatalMorbidity06,Neonatal morbibidity 06
NeonatalMorbidity07,Neonatal morbibidity 07
NeonatalMorbidity08,Neonatal morbibidity 08
NeonatalMorbidity09,Neonatal morbibidity 09
NeonatalMorbidity10,Neonatal morbibidity 10
NeonatalMorbidity11,Neonatal morbibidity 11
NeonatalMorbidity12,Neonatal morbibidity 12
NeonatalMorbidity13,Neonatal morbibidity 13
NeonatalMorbidityConcatenated,Neonatal morbibidity coding concatenated
NeonateTimeOfDeath,Neonatal time of death
NoOfAntenatalVisits,Number of Antenatal
NoOfBirths,Number of births
NoOfDueDates,Number of due dates
NoOfPreviousAbortionsInduced,Number of previous abortions induced
NoOfPreviousAbortionsSpontaneous,Number of previous abortions spontaneous
NoOfPreviousCSections,Number of previous C sections
NoOfPreviousEctopicPregnancies,Number of previous ectopic pregnancies
NoOfPreviousLiveBirths,Number of previous live births
NoOfPreviousNeonatalDeaths,Number of previous neonatal deaths
NoOfPreviousStillbirths,Number of previous still births
NoOfUltrasounds10to14Weeks,Number of ultrasounds - 10 to 14 weeks
NoOfUltrasounds13to26Weeks,Number of ultrasounds - 13 to 26 weeks
NoOfUltrasounds15to26Weeks,Number of ultrasounds - 15 to 26 weeks
NoOfUltrasoundsAfter26Weeks,Number of ultrasounds - after 26 weeks
NoOfUltrasoundsBefore13Weeks,Number of ultrasounds - before 13 weeks
ObstComplication01,Obstetric complications 01
ObstComplication02,Obstetric complications 02
ObstComplication03,Obstetric complications 03
ObstComplication04,Obstetric complications 04
ObstComplication05,Obstetric complications 05
ObstComplication06,Obstetric complications 06
ObstComplication07,Obstetric complications 07
ObstComplication08,Obstetric complications 08
ObstComplication09,Obstetric complications 09
ObstComplication10,Obstetric complications 10
ObstComplication11,Obstetric complications 11
ObstComplication12,Obstetric complications 12
ObstComplication13,Obstetric complications 13
ObstComplication14,Obstetric complications 14
ObstComplication15,Obstetric complications 15
ObstComplication16,Obstetric complications 16
ObstetricComplicationsConcat,#N/A
OperativeBirthReasonsConcat,#N/A
OperativeDelivery01,Operative delivery 01
OperativeDelivery02,Operative delivery 02
OperativeDelivery03,Operative delivery 03
OperativeDelivery04,Operative delivery 04
OperativeDelivery05,Operative delivery 05
OperativeDelivery06,Operative delivery 06
OperativeDelivery07,Operative delivery 07
OperativeDelivery08,Operative delivery 08
OutcomeLastPregnancyRefId,Outcome of the most recent pregnancy preceding the current pregnancy
PerinealLacerationDegreeRefId,The state of the perineum following birth
PerinealLacerationDegreeType,The degree or type of laceration/tear to the perineum and/or genital tract following birth
PerinealLacerationFlag,Perineal laceration
PerinealLacerationIndicatorRefId,Perineal laceration indicator
PlaceBirthRefId,The actual place where the birth occurred
PluralityRefId,The total number of babies resulting from a single pregnancy
PostnatalDepressionFlag,Postnatal depression flag
PostpartumCompConcatenated,Postpartum complication codes concatenated
PostpartumComplication01,Postpartum complication 01
PostpartumComplication02,Postpartum complication 02
PostpartumComplication03,Postpartum complication 03
PostpartumComplication04,Postpartum complication 04
PostpartumComplication05,Postpartum complication 05
